date,pm25,pm10,o3,no2,so2,co
2020/3/20, 37, 19, 18, 13, , 1
2020/3/21, 38, 23, 16, 13, , 1
2020/3/22, 58, 21, 24, 13, , 1
2020/3/23, 48, 30, 22, 17, , 2
2020/3/24, 67, 33, 24, 18, , 2
2020/3/25, 69, 26, 15, 12, 1, 
2020/3/26, 55, 68, 23, 16, , 2
2020/3/27, 88, 64, 26, 14, , 1
2020/3/28, 84, 29, 14, 13, , 
2020/3/29, 61, 11, 27, 9, , 
2020/3/30, 25, 17, 29, 10, , 
2020/3/31, 30, 33, 31, 12, , 
2019/12/3, 71, 12, 22, 12, , 18
2019/12/4, 31, 19, 21, 14, 1, 9
2019/12/5, 41, 43, 8, 16, 2, 9
2019/12/6, 96, 39, 10, 17, 2, 14
2019/12/7, 88, 58, 9, 20, 1, 8
2019/12/8, 136, 15, 26, 11, , 1
2019/12/9, 39, 42, 7, 16, 1, 3
2019/12/10, 103, 57, 8, 16, 2, 4
2019/12/11, 129, 68, 6, 19, 3, 8
2019/12/12, 152, 52, 10, 21, 1, 2
2019/12/13, 127, 69, 6, 23, 2, 6
2019/12/14, 154, 71, 6, 22, 3, 8
2019/12/15, 150, 31, 19, 14, 1, 2
2019/12/16, 66, 25, 16, 16, 1, 3
2019/12/17, 54, 48, 10, 15, 1, 4
2019/12/18, 109, 21, 29, 13, 1, 1
2019/12/19, 39, 17, 26, 15, 2, 1
2019/12/20, 33, 63, 9, 20, 2, 5
2019/12/21, 142, 72, 8, 18, 2, 7
2019/12/22, 160, 91, 4, 23, 3, 11
2019/12/23, 172, 100, 4, 32, 6, 18
2019/12/24, 175, 78, 5, 26, 5, 12
2019/12/25, 132, 60, 11, 23, 3, 8
2019/12/26, 107, 48, 13, 18, 1, 3
2019/12/27, 94, 14, 17, 10, 1, 1
2019/12/28, 25, 40, 5, 16, 2, 4
2019/12/29, 93, , , , , 
2020/7/21, , 33, 8, 10, 1, 
2020/7/26, , 47, 11, 8, 1, 
2020/9/19, , 49, 10, 4, 2, 8
2020/6/4, , 12, 31, 9, , 
2020/6/16, , 20, 34, 15, , 1
2019/12/31, , 25, 15, 11, 1, 2
2019/12/2, , 34, 9, 18, 1, 15
